"type","post_published","likes_count_fb","comments_count_fb","shares_count_fb","date"
"link","2016-12-30",966,408,221,2016-12-30
"link","2016-12-30",1349,691,176,2016-12-30
"link","2016-12-29",393,320,135,2016-12-29
"link","2016-12-29",1116,432,407,2016-12-29
"video","2016-12-28",313,421,176,2016-12-28
"photo","2016-12-28",182,322,84,2016-12-28
"link","2016-12-28",274,200,132,2016-12-28
"link","2016-12-28",372,286,50,2016-12-28
"link","2016-12-27",544,479,258,2016-12-27
"link","2016-12-26",958,597,274,2016-12-26
"link","2016-12-24",311,339,65,2016-12-24
"video","2016-12-23",736,301,0,2016-12-23
"link","2016-12-23",133,177,34,2016-12-23
"photo","2016-12-23",164,241,33,2016-12-23
"photo","2016-12-22",239,612,75,2016-12-22
"link","2016-12-22",209,119,43,2016-12-22
"link","2016-12-22",166,233,16,2016-12-22
"link","2016-12-22",179,75,28,2016-12-22
"video","2016-12-22",557,573,352,2016-12-22
"link","2016-12-21",132,253,22,2016-12-21
"link","2016-12-21",137,55,18,2016-12-21
"photo","2016-12-21",736,676,313,2016-12-21
"link","2016-12-21",212,45,43,2016-12-21
"photo","2016-12-21",635,255,262,2016-12-21
"link","2016-12-20",520,388,88,2016-12-20
"link","2016-12-20",698,442,205,2016-12-20
"video","2016-12-20",3195,2962,1112,2016-12-20
"photo","2016-12-20",1097,330,406,2016-12-20
"video","2016-12-20",160,207,122,2016-12-20
"link","2016-12-20",435,372,117,2016-12-20
"link","2016-12-19",232,119,56,2016-12-19
"photo","2016-12-19",441,103,103,2016-12-19
"link","2016-12-19",132,69,30,2016-12-19
"photo","2016-12-18",221,347,84,2016-12-18
"photo","2016-12-17",402,468,174,2016-12-17
"link","2016-12-17",340,260,95,2016-12-17
"link","2016-12-16",238,106,28,2016-12-16
"photo","2016-12-16",298,33,86,2016-12-16
"link","2016-12-16",394,200,135,2016-12-16
"video","2016-12-16",223,54,81,2016-12-16
"photo","2016-12-16",385,498,247,2016-12-16
"link","2016-12-15",186,103,0,2016-12-15
"link","2016-12-15",107,37,20,2016-12-15
"link","2016-12-15",313,292,108,2016-12-15
"video","2016-12-15",1173,885,608,2016-12-15
"photo","2016-12-15",553,245,181,2016-12-15
"video","2016-12-14",515,309,210,2016-12-14
"link","2016-12-13",454,468,68,2016-12-13
"link","2016-12-13",387,393,110,2016-12-13
"photo","2016-12-13",366,339,130,2016-12-13
